incident_id;offense_id;offense_code;offense_code_extension;offense_type_id;offense_category_id;first_occurrence_date;incident_address;geo_x;geo_y;geo_lon;geo_lat;district_id;precinct_id;neighborhood_id;is_crime;is_traffic;victim_count
2023481015;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/6/2023 9:00:00 AM;2300 S ST PAUL ST;3,15478E+13;1,67082E+13;-1049501242;396739156;3;314;university-park;1;0;1
2023480502;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/6/2023 1:20:00 AM;;;;;;4;412;westwood;1;0;1
2023479940;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;8/1/2023 12:01:00 AM;;;;;;3;322;washington-virginia-vale;1;0;1
2023480604;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 4:44:00 AM;934 16TH ST;3,14211E+13;1,69732E+13;-1049946215;397468574;6;611;cbd;1;0;1
2023481482;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 2:20:00 PM;00 BLK E 16TH AVE;3,14439E+13;1,69552E+13;-1049865530;397418975;6;621;north-capitol-hill;1;0;1
2023481490;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 2:20:00 PM;1245 S BELLAIRE ST;3,15815E+13;1,67822E+13;-1049379825;396941792;3;322;virginia-village;1;0;1
2023480602;2,02348E+15;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;9/6/2023 4:41:00 AM;1525 N WILLOW ST;3,17196E+13;1,69536E+13;-1048885058;397409869;2;223;east-colfax;1;0;1
2023482541;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/7/2023 2:25:00 AM;21ST ST / MARKET ST;3,14276E+13;1,70013E+13;-1049922398;397545723;6;612;five-points;1;0;1
2023482533;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/7/2023 2:00:00 AM;2300 WELTON ST;3,14561E+13;1,69893E+13;-1049821422;397512148;6;621;five-points;1;0;1
2023483004;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/1/2023 10:00:00 PM;1500 BLK N WASHINGTON ST;3,14671E+13;1,69508E+13;-1049782981;397406368;6;621;north-capitol-hill;1;0;1
2023462701;2,02346E+15;1315;0;aggravated-assault;aggravated-assault;8/27/2023 11:45:00 AM;3800 BLOCK N PEORIA ST;3,1837E+13;1,70582E+13;-1048464853;397694711;5;512;central-park;1;0;1
2023482419;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/6/2023 11:00:00 PM;2500 BLK W HARVARD AVE;3,13581E+13;1,66986E+13;-1050175442;396715652;4;422;college-view-south-platte;1;0;1
2023482198;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/6/2023 9:26:00 PM;5100 W DARTMOUTH AVE;3,12676E+13;1,66424E+13;-1050497852;396562753;4;423;harvey-park-south;1;0;1
2023446821;2,02345E+15;1315;0;aggravated-assault;aggravated-assault;8/19/2023 1:10:00 AM;1920 BLAKE ST;3,14203E+13;1,69973E+13;-1049948655;397534691;6;612;union-station;1;0;2
2023482053;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/6/2023 8:55:00 PM;3107 S WOLFF ST;3,12725E+13;1,66455E+13;-1050480322;396571278;4;423;harvey-park-south;1;0;1
2023482889;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/7/2023 7:00:00 AM;;;;;;3;323;hampden;1;0;1
2023483461;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/7/2023 1:12:00 PM;;;;;;1;123;lincoln-park;1;0;1
2023483692;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/7/2023 3:17:00 PM;;;;;;2;223;east-colfax;1;0;1
2023481901;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 5:49:00 PM;1701 N BRYANT ST;3,13495E+13;1,69621E+13;-1050201083;397439224;1;121;sun-valley;1;0;1
2023483301;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/7/2023 11:42:00 AM;4500 BLK N FILLMORE ST;3,15365E+13;1,70922E+13;-1049533354;397793551;2;212;elyria-swansea;1;0;1
2023484127;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/7/2023 7:05:00 PM;2900 BLK S FEDERAL BLVD;3,13388E+13;1,66687E+13;-1050244559;396633820;4;422;college-view-south-platte;1;0;1
2023484182;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/7/2023 5:51:00 PM;2300 BLK N BROADWAY ST;3,14422E+13;1,70027E+13;-1049870586;397549287;6;621;five-points;1;0;1
2023481700;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 3:30:00 PM;5550 W DARTMOUTH AVE;3,1252E+13;1,66385E+13;-1050553432;396552203;4;423;bear-valley;1;0;1
2023481938;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 6:14:00 PM;4775 N ARGONNE ST;3,20618E+13;1,71087E+13;-1047664008;397828657;5;523;gateway-green-valley-ranch;1;0;3
2023482923;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/7/2023 5:00:00 AM;2121 E 48TH AVE;3,15115E+13;1,71084E+13;-1049621889;397838267;2;212;elyria-swansea;1;0;1
2023483201;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/6/2023 3:30:00 PM;3955 N STEELE ST;3,15432E+13;1,70648E+13;-1049509998;397718250;2;212;clayton;1;0;3
2023482480;2,02348E+15;1315;6;agg-aslt-shoot;aggravated-assault;9/7/2023 1:01:00 AM;STOUT ST / 22ND ST;3,14458E+13;1,69901E+13;-1049858144;397514533;6;621;five-points;1;0;1
2023486920;2,02349E+15;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;9/8/2023 5:00:00 PM;3000 N INCA ST;3,14106E+13;1,70232E+13;-1049982643;397606130;6;612;five-points;1;0;1
2023485759;2,02349E+15;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;9/6/2023 11:00:00 AM;4872 N CARSON ST;3,1884E+13;1,71075E+13;-1048296366;397829023;5;521;montbello;1;0;4
2023487660;2,02349E+15;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;9/9/2023 5:06:00 PM;455 N WINONA CT;3,12721E+13;1,68865E+13;-1050477484;397232639;4;411;barnum-west;1;0;3
2023486556;2,02349E+15;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;9/9/2023 12:00:00 AM;8300 E FAIRMOUNT DR;3,17195E+13;1,6823E+13;-1048888680;397051324;3;321;windsor;1;0;1
